"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","AR465","M48","NRS1","P10","R50","V521"
"mvaS","","Hydroxymethylglutaryl-CoA synthase","6","6","1","1","196","","","","584","1166","1069","AR465_00339","M48_02780","NRS1_02465","P10_00973","R50_02465","V521_02818"
"group_150","","hypothetical protein","6","6","1","1","282","","","","275","275","275","AR465_00382","M48_02848","NRS1_02507","P10_00929","R50_02507","V521_02883"
"isdG_2","","Heme oxygenase (staphylobilin-producing)","6","6","1","1","264","","","","443","443","443","AR465_00402","M48_02865","NRS1_02526","P10_00909","R50_02526","V521_02900"
"arcA","","Arginine deiminase","6","6","1","1","236","","","","728","1235","1150","AR465_00429","M48_02893","NRS1_02553","P10_00882","R50_02553","V521_02927"
"group_154","","hypothetical protein","6","6","1","1","696","","","","959","959","959","AR465_00444","M48_02908","NRS1_02568","P10_00867","R50_02568","V521_02942"
"sraP","","hypothetical protein","6","6","1","1","700","","","","5159","6815","5746","AR465_00448","M48_02912","NRS1_02572","P10_00863","R50_02572","V521_02946"
"group_156","","hypothetical protein","6","6","1","1","706","","","","302","302","302","AR465_00451","M48_02916","NRS1_02576","P10_00860","R50_02576","V521_02950"
"pcp","","Pyrrolidone-carboxylate peptidase","6","6","1","1","740","","","","638","638","638","AR465_00483","M48_02949","NRS1_02608","P10_00828","R50_02608","V521_02983"
"group_158","","hypothetical protein","6","6","1","1","741","","","","464","464","464","AR465_00486","M48_02950","NRS1_02609","P10_00825","R50_02609","V521_02984"
"yflS","","Putative malate transporter YflS","6","6","1","1","743","","","","818","1418","1318","AR465_00487","M48_02952","NRS1_02611","P10_00824","R50_02611","V521_02986"
"sbnE","","L-2,3-diaminopropanoate--citrate ligase","6","6","1","1","950","","","","1736","1736","1736","AR465_00619","M48_00094","NRS1_00048","P10_00693","R50_00048","V521_00136"
"group_164","","hypothetical protein","6","6","1","1","942","","","","689","692","691","AR465_00627","M48_00102","NRS1_00057","P10_00685","R50_00057","V521_00144"
"group_166","","PTS system EIIBC component","6","6","1","1","2802","","","","305","1454","1262","AR465_00689","M48_00165","NRS1_00119","P10_00623","R50_00119","V521_00208"
"uhpT","","Hexose-6-phosphate:phosphate antiporter","6","6","1","1","2836","","","","719","1379","1269","AR465_00719","M48_00188","NRS1_00142","P10_00593","R50_00142","V521_00228"
"lcfB","","Long-chain-fatty-acid--CoA ligase","6","6","1","1","2849","","","","1280","1505","1467","AR465_00732","M48_00200","NRS1_00154","P10_00581","R50_00154","V521_00240"
"hmp","","Flavohemoprotein","6","6","1","1","2858","","","","1145","1145","1145","AR465_00738","M48_00207","NRS1_00160","P10_00575","R50_00160","V521_00248"
"lip2","","Lipase 2","6","6","1","1","2950","","","","1307","2075","1818","AR465_00816","M48_00291","NRS1_00239","P10_00497","R50_00239","V521_00333"
"nupG","","Purine nucleoside transport protein NupG","6","6","1","1","1467","","","","1229","1229","1229","AR465_01143","M48_00699","NRS1_00561","P10_00195","R50_00561","V521_00739"
"group_1785","","Putative dipeptidase","6","6","1","1","2000","","","","1409","1409","1409","AR465_01592","M48_01732","NRS1_01733","P10_01836","R50_01733","V521_01783"
"group_1786","","Acetyltransferase","6","6","1","1","3367","","","","434","434","434","AR465_02282","M48_01039","NRS1_00967","P10_02591","R50_00967","V521_01085"
"rsmH","","Ribosomal RNA small subunit methyltransferase H","6","6","1","1","3491","","","","935","935","935","AR465_02156","M48_01160","NRS1_01090","P10_02465","R50_01090","V521_01209"
"ytrA","","HTH-type transcriptional repressor YtrA","6","6","1","1","2626","","","","380","380","380","AR465_01374","M48_02022","NRS1_01948","P10_01619","R50_01948","V521_02072"
"msrA1","","Peptide methionine sulfoxide reductase MsrA 1","6","6","1","1","3681","","","","509","509","509","AR465_01973","M48_01350","NRS1_01276","P10_02281","R50_01276","V521_01397"
"rplA","","50S ribosomal protein L1","6","6","1","1","436","","","","692","692","692","AR465_01039","M48_00586","NRS1_00452","P10_00299","R50_00452","V521_00624"
"murJ","","Lipid II flippase MurJ","6","6","1","1","1997","","","","1661","1661","1661","AR465_01589","M48_01735","NRS1_01736","P10_01833","R50_01736","V521_01786"
"ytmI","","putative N-acetyltransferase YtmI","6","6","1","1","37","","","","536","536","536","AR465_00195","M48_02639","NRS1_02321","P10_01115","R50_02321","V521_02678"
"group_1793","","hypothetical protein","6","6","1","1","3081","","","","185","185","185","AR465_00113","M48_02555","NRS1_02239","P10_01196","R50_02239","V521_02595"
"group_1794","","Putative 3-methyladenine DNA glycosylase","6","6","1","1","3055","","","","608","608","608","AR465_00138","M48_02580","NRS1_02265","P10_01171","R50_02265","V521_02620"
"group_1795","","hypothetical protein","6","6","1","1","3341","","","","176","176","176","AR465_02305","M48_01014","NRS1_00944","P10_02614","R50_00944","V521_01059"
"group_1796","","hypothetical protein","6","6","1","1","194","","","","431","431","431","AR465_00337","M48_02777","NRS1_02463","P10_00975","R50_02463","V521_02815"
"whiA","","putative cell division protein WhiA","6","6","1","1","1591","","","","944","944","944","AR465_01265","M48_00821","NRS1_00683","P10_00074","R50_00683","V521_00860"
"group_1798","","hypothetical protein","6","6","1","1","1940","","","","698","698","698","AR465_01876","M48_01448","NRS1_01388","P10_02185","R50_01388","V521_01496"
"group_1799","","hypothetical protein","6","6","1","1","3375","","","","317","317","317","AR465_02273","M48_01047","NRS1_00975","P10_02582","R50_00975","V521_01093"
"glpT","","Glycerol-3-phosphate transporter","6","6","1","1","2762","","","","242","1358","1172","AR465_00832","M48_00375","NRS1_00255","P10_00481","R50_00255","V521_00413"
"dtd","","D-aminoacyl-tRNA deacylase","6","6","1","1","2109","","","","452","452","452","AR465_01706","M48_01617","NRS1_01624","P10_01949","R50_01624","V521_01667"
"group_1801","","hypothetical protein","6","6","1","1","3582","","","","284","284","284","AR465_02068","M48_01249","NRS1_01178","P10_02376","R50_01178","V521_01299"
"mneS","","Manganese efflux system protein MneS","6","6","1","1","54","","","","866","866","866","AR465_00211","M48_02655","NRS1_02337","P10_01099","R50_02337","V521_02695"
"gapA1","","Glyceraldehyde-3-phosphate dehydrogenase 1","6","6","1","1","1596","","","","1010","1010","1010","AR465_01271","M48_00827","NRS1_00689","P10_00068","R50_00689","V521_00866"
"group_1804","","hypothetical protein","6","6","1","1","1339","","","","134","134","134","AR465_02557","M48_02115","NRS1_01966","P10_01540","R50_01966","V521_02159"
"group_1805","","hypothetical protein","6","6","1","1","391","","","","368","368","368","AR465_01083","M48_00630","NRS1_00496","P10_00255","R50_00496","V521_00670"
"cntE","","Staphylopine export protein","6","6","1","1","97","","","","1193","1193","1193","AR465_00254","M48_02698","NRS1_02380","P10_01056","R50_02380","V521_02739"
"cymR","","HTH-type transcriptional regulator CymR","6","6","1","1","2115","","","","422","422","422","AR465_01712","M48_01611","NRS1_01618","P10_01955","R50_01618","V521_01661"
"group_1808","","putative metallo-hydrolase","6","6","1","1","2197","","","","623","623","623","AR465_01791","M48_01531","NRS1_01540","P10_02034","R50_01540","V521_01580"
"group_1809","","hypothetical protein","6","6","1","1","3527","","","","953","953","953","AR465_02122","M48_01195","NRS1_01124","P10_02431","R50_01124","V521_01244"
"group_1810","","hypothetical protein","6","6","1","1","508","","","","269","269","269","AR465_00957","M48_00504","NRS1_00371","P10_00381","R50_00371","V521_00542"
"rpmA","","50S ribosomal protein L27","6","6","1","1","2097","","","","284","284","284","AR465_01694","M48_01629","NRS1_01636","P10_01937","R50_01636","V521_01679"
"lacF","","PTS system lactose-specific EIIA component","6","6","1","1","3211","","","","311","311","311","AR465_02715","M48_02435","NRS1_02123","P10_01318","R50_02123","V521_02474"
"lipA_1","","Lipoyl synthase","6","6","1","1","3238","","","","917","917","917","AR465_02409","M48_00910","NRS1_00840","P10_02718","R50_00840","V521_00954"
"group_1814","","hypothetical protein","6","6","1","1","1566","","","","494","494","494","AR465_01241","M48_00797","NRS1_00660","P10_00097","R50_00660","V521_00837"
"rpiA","","Ribose-5-phosphate isomerase A","6","6","1","1","3063","","","","686","686","686","AR465_00131","M48_02573","NRS1_02257","P10_01178","R50_02257","V521_02613"
"group_1816","","hypothetical protein","6","6","1","1","3731","","","","203","203","203","AR465_01925","M48_01398","NRS1_01340","P10_02233","R50_01340","V521_01446"
"purC","","Phosphoribosylaminoimidazole-succinocarboxamide synthase","6","6","1","1","3379","","","","704","704","704","AR465_02269","M48_01051","NRS1_00979","P10_02578","R50_00979","V521_01097"
"group_1818","","Nucleoid-associated protein","6","6","1","1","495","","","","317","317","317","AR465_00971","M48_00518","NRS1_00385","P10_00367","R50_00385","V521_00556"
"group_1819","","hypothetical protein","6","6","1","1","1478","","","","428","428","428","AR465_01154","M48_00710","NRS1_00572","P10_00184","R50_00572","V521_00750"
"efeM","","putative iron uptake system component EfeM","6","6","1","1","2755","","","","656","854","788","AR465_00839","M48_00381","NRS1_00261","P10_00475","R50_00261","V521_00419"
"dagK","","Diacylglycerol kinase","6","6","1","1","2666","","","","947","947","947","AR465_01410","M48_01986","NRS1_01906","P10_01655","R50_01906","V521_02036"
"spxA","","Regulatory protein Spx","6","6","1","1","3310","","","","395","395","395","AR465_02337","M48_00981","NRS1_00912","P10_02646","R50_00912","V521_01026"
"hdl IVa","","(S)-2-haloacid dehalogenase 4A","6","6","1","1","1436","","","","719","719","719","AR465_01111","M48_00668","NRS1_00530","P10_00227","R50_00530","V521_00708"
"group_1823","","hypothetical protein","6","6","1","1","1517","","","","422","422","422","AR465_01192","M48_00748","NRS1_00611","P10_00146","R50_00611","V521_00788"
"group_1824","","hypothetical protein","6","6","1","1","1231","","","","233","233","233","AR465_02624","M48_02335","NRS1_02032","P10_01473","R50_02032","V521_02378"
"ypjD","","putative protein YpjD","6","6","1","1","1939","","","","317","317","317","AR465_01877","M48_01447","NRS1_01387","P10_02186","R50_01387","V521_01495"
"rplW","","50S ribosomal protein L23","6","6","1","1","3149","","","","275","275","275","AR465_00045","M48_02488","NRS1_02171","P10_01264","R50_02171","V521_02527"
"group_1827","","hypothetical protein","6","6","1","1","2126","","","","308","308","308","AR465_01723","M48_01600","NRS1_01607","P10_01966","R50_01607","V521_01650"
"group_1828","","hypothetical protein","6","6","1","1","3648","","","","584","584","584","AR465_02006","M48_01317","NRS1_01243","P10_02315","R50_01243","V521_01363"
"dgkA","","Undecaprenol kinase","6","6","1","1","2174","","","","344","344","344","AR465_01768","M48_01554","NRS1_01563","P10_02011","R50_01563","V521_01603"
"pnp_1","","Polyribonucleotide nucleotidyltransferase","6","6","1","1","466","","","","401","401","401","AR465_01000","M48_00547","NRS1_00414","P10_00338","R50_00414","V521_00585"
"group_1831","","hypothetical protein","6","6","1","1","3454","","","","521","521","521","AR465_02195","M48_01124","NRS1_01053","P10_02504","R50_01053","V521_01171"
"rodA","","Peptidoglycan glycosyltransferase RodA","6","6","1","1","1247","","","","1202","1202","1202","AR465_02608","M48_02319","NRS1_02016","P10_01489","R50_02016","V521_02362"
"group_1833","","hypothetical protein","6","6","1","1","3334","","","","803","803","803","AR465_02314","M48_01005","NRS1_00935","P10_02623","R50_00935","V521_01050"
"group_1834","","hypothetical protein","6","6","1","1","3431","","","","1037","1037","1037","AR465_02218","M48_01101","NRS1_01030","P10_02527","R50_01030","V521_01148"
"group_1835","","hypothetical protein","6","6","1","1","3244","","","","152","152","152","AR465_02402","M48_00916","NRS1_00846","P10_02711","R50_00846","V521_00960"
"group_1836","","hypothetical protein","6","6","1","1","1403","","","","341","341","341","AR465_01093","M48_00640","NRS1_00506","P10_00245","R50_00506","V521_00680"
"yclO","","Petrobactin import system permease protein YclO","6","6","1","1","1556","","","","956","956","956","AR465_01231","M48_00787","NRS1_00650","P10_00107","R50_00650","V521_00827"
"group_1838","","hypothetical protein","6","6","1","1","3665","","","","287","287","287","AR465_01989","M48_01334","NRS1_01260","P10_02297","R50_01260","V521_01380"
"nnrD","","ADP-dependent (S)-NAD(P)H-hydrate dehydratase","6","6","1","1","774","","","","812","812","812","AR465_00513","M48_00007","NRS1_02639","P10_00799","R50_02639","V521_00007"
"tatC2","","Sec-independent protein translocase protein TatCy","6","6","1","1","2752","","","","605","701","637","AR465_00842","M48_00385","NRS1_00264","P10_00472","R50_00264","V521_00423"
"hprK","","HPr kinase/phosphorylase","6","6","1","1","1583","","","","932","932","932","AR465_01257","M48_00814","NRS1_00676","P10_00081","R50_00676","V521_00853"
"dnaI","","Primosomal protein DnaI","6","6","1","1","2066","","","","920","920","920","AR465_01659","M48_01665","NRS1_01665","P10_01902","R50_01665","V521_01715"
"esxA","","Type VII secretion system extracellular protein A","6","6","1","1","2902","","","","293","293","293","AR465_00779","M48_00250","NRS1_00203","P10_00534","R50_00203","V521_00290"
"group_1843","","hypothetical protein","6","6","1","1","19","","","","365","365","365","AR465_00178","M48_02621","NRS1_02304","P10_01132","R50_02304","V521_02660"
"group_1844","","hypothetical protein","6","6","1","1","93","","","","257","257","257","AR465_00250","M48_02694","NRS1_02376","P10_01060","R50_02376","V521_02735"
"group_1845","","hypothetical protein","6","6","1","1","395","","","","167","167","167","AR465_01079","M48_00626","NRS1_00492","P10_00259","R50_00492","V521_00665"
"cspA_2","","Cold shock protein CspA","6","6","1","1","3739","","","","200","200","200","AR465_01933","M48_01389","NRS1_01332","P10_02241","R50_01332","V521_01437"
"mntR","","HTH-type transcriptional regulator MntR","6","6","1","1","1457","","","","644","644","644","AR465_01133","M48_00689","NRS1_00551","P10_00205","R50_00551","V521_00729"
"nrdF","","Ribonucleoside-diphosphate reductase subunit beta","6","6","1","1","1554","","","","971","971","971","AR465_01229","M48_00785","NRS1_00648","P10_00109","R50_00648","V521_00825"
"mraZ","","Transcriptional regulator MraZ","6","6","1","1","3490","","","","431","431","431","AR465_02157","M48_01159","NRS1_01089","P10_02466","R50_01089","V521_01208"
"group_185","","hypothetical protein","6","6","1","1","2750","","","","389","389","389","AR465_00844","M48_00387","NRS1_00266","P10_00470","R50_00266","V521_00425"
"ytpP","","Thioredoxin-like protein YtpP","6","6","1","1","2007","","","","311","311","311","AR465_01599","M48_01725","NRS1_01726","P10_01843","R50_01726","V521_01776"
"rplT","","50S ribosomal protein L20","6","6","1","1","2071","","","","356","356","356","AR465_01664","M48_01660","NRS1_01660","P10_01907","R50_01660","V521_01710"
"rsmA","","Ribosomal RNA small subunit methyltransferase A","6","6","1","1","481","","","","893","893","893","AR465_00985","M48_00532","NRS1_00399","P10_00353","R50_00399","V521_00570"
"group_1853","","hypothetical protein","6","6","1","1","2151","","","","584","584","584","AR465_01745","M48_01577","NRS1_01586","P10_01988","R50_01586","V521_01626"
"rocA","","1-pyrroline-5-carboxylate dehydrogenase","6","6","1","1","204","","","","1544","1544","1544","AR465_00347","M48_02789","NRS1_02473","P10_00965","R50_02473","V521_02826"
"group_1855","","hypothetical protein","6","6","1","1","1563","","","","320","320","320","AR465_01238","M48_00794","NRS1_00657","P10_00100","R50_00657","V521_00834"
"group_1856","","hypothetical protein","6","6","1","1","1493","","","","644","644","644","AR465_01169","M48_00725","NRS1_00587","P10_00169","R50_00587","V521_00765"
"mrnC","","Mini-ribonuclease 3","6","6","1","1","443","","","","404","404","404","AR465_01032","M48_00579","NRS1_00445","P10_00306","R50_00445","V521_00617"
"group_1858","","hypothetical protein","6","6","1","1","1538","","","","608","608","608","AR465_01213","M48_00769","NRS1_00632","P10_00125","R50_00632","V521_00809"
"group_1859","","hypothetical protein","6","6","1","1","192","","","","218","218","218","AR465_00336","M48_02776","NRS1_02462","P10_00976","R50_02462","V521_02814"
"group_186","","hypothetical protein","6","6","1","1","587","","","","386","386","386","AR465_00871","M48_00415","NRS1_00296","P10_00443","R50_00296","V521_00454"
"mreC","","Cell shape-determining protein MreC","6","6","1","1","2093","","","","842","842","842","AR465_01690","M48_01633","NRS1_01640","P10_01933","R50_01640","V521_01683"
"group_1861","","putative protein","6","6","1","1","2216","","","","362","362","362","AR465_01810","M48_01512","NRS1_01521","P10_02053","R50_01521","V521_01561"
"rpsM","","30S ribosomal protein S13","6","6","1","1","3171","","","","365","365","365","AR465_00023","M48_02466","NRS1_02149","P10_01286","R50_02149","V521_02505"
"tuf","","Elongation factor Tu","6","6","1","1","426","","","","1184","1184","1184","AR465_01049","M48_00596","NRS1_00462","P10_00289","R50_00462","V521_00634"
"group_1864","","hypothetical protein","6","6","1","1","3091","","","","473","473","473","AR465_00103","M48_02545","NRS1_02229","P10_01206","R50_02229","V521_02585"
"rplB","","50S ribosomal protein L2","6","6","1","1","3150","","","","833","833","833","AR465_00044","M48_02487","NRS1_02170","P10_01265","R50_02170","V521_02526"
"sdcS","","Sodium-dependent dicarboxylate transporter SdcS","6","6","1","1","2647","","","","1562","1562","1562","AR465_01391","M48_02005","NRS1_01925","P10_01636","R50_01925","V521_02055"
"arg","","Arginase","6","6","1","1","1169","","","","908","908","908","AR465_02682","M48_02398","NRS1_02091","P10_01414","R50_02091","V521_02438"
"rsbV","","Anti-sigma-B factor antagonist","6","6","1","1","1265","","","","326","326","326","AR465_02590","M48_02302","NRS1_01999","P10_01507","R50_01999","V521_02345"
"atpC","","ATP synthase epsilon chain","6","6","1","1","1230","","","","404","404","404","AR465_02625","M48_02336","NRS1_02033","P10_01472","R50_02033","V521_02379"
"group_187","","hypothetical protein","6","6","1","1","589","","","","245","257","253","AR465_00874","M48_00417","NRS1_00299","P10_00440","R50_00299","V521_00456"
"ctaB2","","Protoheme IX farnesyltransferase 2","6","6","1","1","3429","","","","911","911","911","AR465_02220","M48_01099","NRS1_01028","P10_02529","R50_01028","V521_01146"
"spoVG","","Putative septation protein SpoVG","6","6","1","1","476","","","","302","302","302","AR465_00990","M48_00537","NRS1_00404","P10_00348","R50_00404","V521_00575"
"yfnB","","Putative HAD-hydrolase YfnB","6","6","1","1","3487","","","","686","686","686","AR465_02160","M48_01156","NRS1_01086","P10_02469","R50_01086","V521_01205"
"nusG","","Transcription termination/antitermination protein NusG","6","6","1","1","438","","","","548","548","548","AR465_01037","M48_00584","NRS1_00450","P10_00301","R50_00450","V521_00622"
"group_1874","","hypothetical protein","6","6","1","1","3597","","","","392","392","392","AR465_02053","M48_01264","NRS1_01193","P10_02361","R50_01193","V521_01314"
"group_1875","","hypothetical protein","6","6","1","1","3351","","","","116","116","116","AR465_02297","M48_01024","NRS1_00952","P10_02606","R50_00952","V521_01069"
"citZ","","Citrate synthase 2","6","6","1","1","2055","","","","1121","1121","1121","AR465_01648","M48_01676","NRS1_01676","P10_01891","R50_01676","V521_01726"
"group_1877","","hypothetical protein","6","6","1","1","3347","","","","245","245","245","AR465_02300","M48_01019","NRS1_00949","P10_02609","R50_00949","V521_01064"
"group_1882","","hypothetical protein","6","6","1","1","2072","","","","608","608","608","AR465_01665","M48_01659","NRS1_01659","P10_01908","R50_01659","V521_01709"
"nreC","","Oxygen regulatory protein NreC","6","6","1","1","26","","","","653","653","653","AR465_00184","M48_02628","NRS1_02310","P10_01126","R50_02310","V521_02667"
"walR","","Transcriptional regulatory protein WalR","6","6","1","1","785","","","","701","701","701","AR465_00526","M48_00021","NRS1_02652","P10_00786","R50_02652","V521_00020"
"group_1885","","hypothetical protein","6","6","1","1","3645","","","","188","188","188","AR465_02009","M48_01314","NRS1_01240","P10_02318","R50_01240","V521_01360"
"group_1886","","hypothetical protein","6","6","1","1","2210","","","","218","218","218","AR465_01804","M48_01518","NRS1_01527","P10_02047","R50_01527","V521_01567"
"dps","","General stress protein 20U","6","6","1","1","1192","","","","443","443","443","AR465_02662","M48_02374","NRS1_02071","P10_01435","R50_02071","V521_02416"
"rpsE","","30S ribosomal protein S5","6","6","1","1","3164","","","","500","500","500","AR465_00030","M48_02473","NRS1_02156","P10_01279","R50_02156","V521_02512"
"rpmG2_1","","50S ribosomal protein L33 2","6","6","1","1","3657","","","","149","149","149","AR465_01997","M48_01326","NRS1_01252","P10_02306","R50_01252","V521_01372"
"rpmE2","","50S ribosomal protein L31 type B","6","6","1","1","1212","","","","254","254","254","AR465_02643","M48_02354","NRS1_02051","P10_01454","R50_02051","V521_02397"
"yefM","","Antitoxin YefM","6","6","1","1","43","","","","251","251","251","AR465_00201","M48_02645","NRS1_02327","P10_01109","R50_02327","V521_02684"
"group_1892","","hypothetical protein","6","6","1","1","3394","","","","1295","1295","1295","AR465_02255","M48_01064","NRS1_00993","P10_02564","R50_00993","V521_01111"
"arlR","","Response regulator ArlR","6","6","1","1","3726","","","","659","659","659","AR465_01920","M48_01403","NRS1_01345","P10_02228","R50_01345","V521_01451"
"group_1894","","hypothetical protein","6","6","1","1","2677","","","","386","386","386","AR465_01421","M48_01975","NRS1_01895","P10_01666","R50_01895","V521_02025"
"pyrG","","CTP synthase","6","6","1","1","1204","","","","1610","1610","1610","AR465_02650","M48_02361","NRS1_02058","P10_01447","R50_02058","V521_02404"
"rplP","","50S ribosomal protein L16","6","6","1","1","3154","","","","434","434","434","AR465_00040","M48_02483","NRS1_02166","P10_01269","R50_02166","V521_02522"
"cpdA_1","","3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA","6","6","1","1","2552","","","","1196","1196","1196","AR465_01493","M48_01834","NRS1_01823","P10_01738","R50_01823","V521_01885"
"aspS","","Aspartate--tRNA ligase","6","6","1","1","2112","","","","1766","1766","1766","AR465_01709","M48_01614","NRS1_01621","P10_01952","R50_01621","V521_01664"
"ftnA","","Bacterial non-heme ferritin","6","6","1","1","2671","","","","500","500","500","AR465_01415","M48_01981","NRS1_01901","P10_01660","R50_01901","V521_02031"
"group_1900","","hypothetical protein","6","6","1","1","3576","","","","782","782","782","AR465_02074","M48_01243","NRS1_01172","P10_02382","R50_01172","V521_01293"
"group_1901","","hypothetical protein","6","6","1","1","3425","","","","275","275","275","AR465_02224","M48_01095","NRS1_01024","P10_02533","R50_01024","V521_01142"
"group_1902","","hypothetical protein","6","6","1","1","2867","","","","146","146","146","AR465_00747","M48_00216","NRS1_00169","P10_00566","R50_00169","V521_00257"
"group_1903","","hypothetical protein","6","6","1","1","505","","","","782","782","782","AR465_00960","M48_00507","NRS1_00374","P10_00378","R50_00374","V521_00545"
"group_1904","","hypothetical protein","6","6","1","1","2409","","","","344","344","344","AR465_01345","M48_02052","NRS1_01441","P10_01589","R50_01441","V521_02102"
"glcU_2","","putative glucose uptake protein GlcU","6","6","1","1","3141","","","","863","863","863","AR465_00053","M48_02495","NRS1_02179","P10_01256","R50_02179","V521_02535"
"sufU","","Zinc-dependent sulfurtransferase SufU","6","6","1","1","1664","","","","464","464","464","AR465_02491","M48_00902","NRS1_00760","P10_00019","R50_00760","V521_00942"
"rpsN2","","Alternate 30S ribosomal protein S14","6","6","1","1","3658","","","","269","269","269","AR465_01996","M48_01327","NRS1_01253","P10_02305","R50_01253","V521_01373"
"butA","","Diacetyl reductase [(S)-acetoin forming]","6","6","1","1","944","","","","776","776","776","AR465_00625","M48_00100","NRS1_00055","P10_00687","R50_00055","V521_00142"
"group_1909","","hypothetical protein","6","6","1","1","583","","","","263","263","263","AR465_00868","M48_00412","NRS1_00293","P10_00446","R50_00293","V521_00451"
"acpP","","Acyl carrier protein","6","6","1","1","3546","","","","233","233","233","AR465_02103","M48_01214","NRS1_01143","P10_02412","R50_01143","V521_01263"
"group_1911","","hypothetical protein","6","6","1","1","2468","","","","443","443","443","AR465_01566","M48_01759","NRS1_01760","P10_01811","R50_01760","V521_01810"
"group_1912","","hypothetical protein","6","6","1","1","3638","","","","197","197","197","AR465_02016","M48_01308","NRS1_01234","P10_02324","R50_01234","V521_01354"
"zwf","","Glucose-6-phosphate 1-dehydrogenase","6","6","1","1","2236","","","","1484","1484","1484","AR465_01832","M48_01492","NRS1_01499","P10_02075","R50_01499","V521_01541"
"nadK","","NAD kinase","6","6","1","1","3320","","","","809","809","809","AR465_02328","M48_00991","NRS1_00921","P10_02637","R50_00921","V521_01036"
"ywqN","","Putative NAD(P)H-dependent FMN-containing oxidoreductase YwqN","6","6","1","1","1425","","","","536","536","536","AR465_01101","M48_00657","NRS1_00520","P10_00237","R50_00520","V521_00697"
"group_1916","","hypothetical protein","6","6","1","1","3240","","","","266","266","266","AR465_02406","M48_00912","NRS1_00842","P10_02715","R50_00842","V521_00956"
"nrdR","","Transcriptional repressor NrdR","6","6","1","1","2064","","","","470","470","470","AR465_01657","M48_01667","NRS1_01667","P10_01900","R50_01667","V521_01717"
"group_1918","","hypothetical protein","6","6","1","1","3041","","","","968","968","968","AR465_00152","M48_02594","NRS1_02279","P10_01157","R50_02279","V521_02634"
"purB","","Adenylosuccinate lyase","6","6","1","1","2656","","","","1295","1295","1295","AR465_01400","M48_01996","NRS1_01916","P10_01645","R50_01916","V521_02046"
"mccA","","O-acetylserine dependent cystathionine beta-synthase","6","6","1","1","514","","","","905","965","938","AR465_00951","M48_00498","NRS1_00365","P10_00387","R50_00365","V521_00536"
"group_1920","","hypothetical protein","6","6","1","1","1222","","","","353","353","353","AR465_02633","M48_02344","NRS1_02041","P10_01464","R50_02041","V521_02387"
"era","","GTPase Era","6","6","1","1","2176","","","","899","899","899","AR465_01770","M48_01552","NRS1_01561","P10_02013","R50_01561","V521_01601"
